title,category,category_name,slug,anzsco,median_pay_annual,median_pay_weekly,median_ft_hourly,entry_education,skill_level,employed,projected_2029,projected_2034,outlook_pct,outlook_desc,part_time_pct,female_pct,median_age,url
Podiatrists,professionals,Professionals,podiatrists,2526,,,,Bachelor degree,1,6000,6782,7713,17.7,Very strong growth,35,48,37,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2526-podiatrists
Audiologists and Speech Pathologists \ Therapists,professionals,Professionals,audiologists-and-speech-pathologists-therapists,2527,102492,1971,49,Bachelor degree,1,21300,20485,23141,16.6,Very strong growth,38,90,32,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2527-audiologists-and-speech-pathologists-therapists
General Practitioners and Resident Medical Officers,professionals,Professionals,general-practitioners-and-resident-medical-officers,2531,136032,2616,63,Bachelor degree,1,87300,93398,105451,15.1,Very strong growth,22,48,40,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2531-general-practitioners-and-resident-medical-officers
Anaesthetists,professionals,Professionals,anaesthetists,2532,,,,Postgraduate degree,1,7100,6654,7518,15.2,Very strong growth,13,33,41,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2532-anaesthetists
Specialist Physicians,professionals,Professionals,specialist-physicians,2533,242164,4657,,Postgraduate degree,1,15300,17594,19858,15.1,Very strong growth,16,47,39,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2533-specialist-physicians
Psychiatrists,professionals,Professionals,psychiatrists,2534,,,,Postgraduate degree,1,5400,4315,4863,14.9,Strong growth,36,55,45,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2534-psychiatrists
Surgeons,professionals,Professionals,surgeons,2535,,,,Postgraduate degree,1,10500,10922,12338,15.2,Very strong growth,14,21,43,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2535-surgeons
Other Medical Practitioners,professionals,Professionals,other-medical-practitioners,2539,196248,3774,84,Bachelor degree,1,21500,24221,27349,15.1,Very strong growth,27,59,42,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2539-other-medical-practitioners
Midwives,professionals,Professionals,midwives,2541,124124,2387,63,Bachelor degree,1,20900,21254,23653,11.1,Strong growth,52,99,42,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2541-midwives
Nurse Educators and Researchers,professionals,Professionals,nurse-educators-and-researchers,2542,114556,2203,58,Postgraduate degree,1,8400,9764,10737,10.5,Strong growth,41,89,42,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2542-nurse-educators-and-researchers
Nurse Managers,professionals,Professionals,nurse-managers,2543,135616,2608,67,Bachelor degree,1,20700,25536,28423,11.2,Strong growth,23,90,44,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2543-nurse-managers
Registered Nurses,professionals,Professionals,registered-nurses,2544,112112,2156,56,Bachelor degree,1,345200,382718,426312,11.3,Strong growth,45,87,39,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2544-registered-nurses
ICT Business and Systems Analysts,professionals,Professionals,ict-business-and-systems-analysts,2611,142584,2742,71,Bachelor degree,1,44700,62155,67824,14.1,Strong growth,6,34,41,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2611-ict-business-and-systems-analysts
Multimedia Specialists and Web Developers,professionals,Professionals,multimedia-specialists-and-web-developers,2612,117104,2252,61,Bachelor degree,1,14000,17303,18889,15.1,Very strong growth,8,21,39,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2612-multimedia-specialists-and-web-developers
Software and Applications Programmers,professionals,Professionals,software-and-applications-programmers,2613,129792,2496,64,Bachelor degree,1,185300,203125,221736,14.8,Strong growth,6,18,38,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2613-software-and-applications-programmers
"Database and Systems Administrators, and ICT Security Specialists",professionals,Professionals,database-and-systems-administrators-and-ict-security-specialists,2621,118768,2284,59,Bachelor degree,1,68700,72936,79582,14.2,Strong growth,6,24,42,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2621-database-and-systems-administrators-and-ict-security-specialists
Computer Network Professionals,professionals,Professionals,computer-network-professionals,2631,120016,2308,62,Bachelor degree,1,43500,49422,53911,14.7,Strong growth,4,15,42,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2631-computer-network-professionals
ICT Support and Test Engineers,professionals,Professionals,ict-support-and-test-engineers,2632,114504,2202,57,Bachelor degree,1,14500,16799,18329,15.0,Very strong growth,4,29,39,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2632-ict-support-and-test-engineers
Telecommunications Engineering Professionals,professionals,Professionals,telecommunications-engineering-professionals,2633,134004,2577,68,Bachelor degree,1,14400,14593,15940,12.9,Strong growth,6,21,40,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2633-telecommunications-engineering-professionals
Barristers,professionals,Professionals,barristers,2711,,,,Bachelor degree,1,8800,9618,10442,11.7,Strong growth,13,35,44,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2711-barristers
Judicial and Other Legal Professionals,professionals,Professionals,judicial-and-other-legal-professionals,2712,140816,2708,74,Bachelor degree,1,12900,13302,14471,11.0,Strong growth,24,58,46,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2712-judicial-and-other-legal-professionals
Solicitors,professionals,Professionals,solicitors,2713,95056,1828,50,Bachelor degree,1,95800,106012,115378,12.4,Strong growth,13,61,37,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2713-solicitors
Counsellors,professionals,Professionals,counsellors,2721,76804,1477,39,Postgraduate degree,1,35100,39416,44123,15.3,Very strong growth,40,71,44,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2721-counsellors
Ministers of Religion,professionals,Professionals,ministers-of-religion,2722,71084,1367,,Bachelor degree,1,19200,21721,23662,12.1,Strong growth,34,32,50,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2722-ministers-of-religion
Psychologists and Psychotherapists,professionals,Professionals,psychologists-and-psychotherapists,2723,106808,2054,59,Postgraduate degree,1,49700,53689,60784,16.1,Very strong growth,46,84,42,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2723-psychologists-and-psychotherapists
Social Professionals,professionals,Professionals,social-professionals,2724,91416,1758,48,Postgraduate degree,1,15100,18122,19693,12.3,Strong growth,44,71,45,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2724-social-professionals
Social Workers,professionals,Professionals,social-workers,2725,96200,1850,48,Bachelor degree,1,47700,49903,56510,16.4,Very strong growth,32,83,39,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2725-social-workers
"Welfare, Recreation and Community Arts Workers",professionals,Professionals,welfare-recreation-and-community-arts-workers,2726,100152,1926,50,Bachelor degree,1,40700,46309,52010,15.2,Very strong growth,33,68,41,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/2726-welfare-recreation-and-community-arts-workers
Agricultural Technicians,technicians-and-trades-workers,Technicians and Trades Workers,agricultural-technicians,3111,101088,1944,,Bachelor degree,2,2400,2490,2605,2.5,Stable,13,38,35,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3111-agricultural-technicians
Medical Technicians,technicians-and-trades-workers,Technicians and Trades Workers,medical-technicians,3112,68744,1322,35,Certificate III/IV,2,37400,43670,47429,6.2,Moderate growth,38,72,38,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3112-medical-technicians
Primary Products Inspectors,technicians-and-trades-workers,Technicians and Trades Workers,primary-products-inspectors,3113,,,,Bachelor degree,2,4000,4384,4526,0.3,Stable,17,48,41,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3113-primary-products-inspectors
Science Technicians,technicians-and-trades-workers,Technicians and Trades Workers,science-technicians,3114,85176,1638,43,Bachelor degree,2,21300,20958,21937,2.0,Stable,27,62,37,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3114-science-technicians
"Architectural, Building and Surveying Technicians",technicians-and-trades-workers,Technicians and Trades Workers,architectural-building-and-surveying-technicians,3121,109980,2115,50,Certificate III/IV,2,81300,92292,97501,8.6,Moderate growth,9,14,41,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3121-architectural-building-and-surveying-technicians
Civil Engineering Draftspersons and Technicians,technicians-and-trades-workers,Technicians and Trades Workers,civil-engineering-draftspersons-and-technicians,3122,90376,1738,46,Advanced Diploma/Diploma,2,13300,14885,15738,5.9,Moderate growth,10,19,42,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3122-civil-engineering-draftspersons-and-technicians
"Electrical Engineering Draftspersons, Technicians",technicians-and-trades-workers,Technicians and Trades Workers,electrical-engineering-draftspersons-technicians,3123,134160,2580,64,Certificate III/IV,2,9000,10635,11294,4.9,Stable,8,0,42,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3123-electrical-engineering-draftspersons-technicians
"Electronic Engineering Draftspersons, Technicians",technicians-and-trades-workers,Technicians and Trades Workers,electronic-engineering-draftspersons-technicians,3124,142272,2736,67,Certificate III/IV,2,7300,4418,4705,2.4,Stable,13,12,46,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3124-electronic-engineering-draftspersons-technicians
"Mechanical Engineering Draftspersons, Technicians",technicians-and-trades-workers,Technicians and Trades Workers,mechanical-engineering-draftspersons-technicians,3125,94796,1823,46,Certificate III/IV,2,7300,6037,6422,2.4,Stable,12,14,42,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3125-mechanical-engineering-draftspersons-technicians
Safety Inspectors,technicians-and-trades-workers,Technicians and Trades Workers,safety-inspectors,3126,171340,3295,84,Certificate III/IV,2,7000,7120,7523,4.3,Stable,8,20,48,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3126-safety-inspectors
Other Building and Engineering Technicians,technicians-and-trades-workers,Technicians and Trades Workers,other-building-and-engineering-technicians,3129,157248,3024,68,Certificate III/IV,2,38800,39990,42677,3.7,Stable,4,15,44,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3129-other-building-and-engineering-technicians
ICT Support Technicians,technicians-and-trades-workers,Technicians and Trades Workers,ict-support-technicians,3131,74984,1442,38,Bachelor degree,2,73000,79018,84633,8.9,Moderate growth,10,22,38,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3131-ict-support-technicians
Telecommunications Technical Specialists,technicians-and-trades-workers,Technicians and Trades Workers,telecommunications-technical-specialists,3132,121368,2334,62,Certificate III/IV,2,4100,4690,5025,6.7,Moderate growth,7,13,45,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3132-telecommunications-technical-specialists
Automotive Electricians,technicians-and-trades-workers,Technicians and Trades Workers,automotive-electricians,3211,98176,1888,42,Certificate III/IV,3,10700,11421,11963,2.3,Stable,6,4,37,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3211-automotive-electricians
Motor Mechanics,technicians-and-trades-workers,Technicians and Trades Workers,motor-mechanics,3212,73060,1405,35,Certificate III/IV,3,108200,111306,116463,2.6,Stable,10,3,36,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3212-motor-mechanics
"Metal Casting, Forging and Finishing Trades",technicians-and-trades-workers,Technicians and Trades Workers,metal-casting-forging-and-finishing-trades,3221,,,,Certificate III/IV,3,3100,3643,3780,-1.0,Declining,14,21,34,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3221-metal-casting-forging-and-finishing-trades
Sheetmetal Trades Workers,technicians-and-trades-workers,Technicians and Trades Workers,sheetmetal-trades-workers,3222,66872,1286,35,Certificate III/IV,3,5900,5377,5723,-2.0,Declining,7,0,46,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3222-sheetmetal-trades-workers
Structural Steel and Welding Trades Workers,technicians-and-trades-workers,Technicians and Trades Workers,structural-steel-and-welding-trades-workers,3223,91260,1755,41,Certificate III/IV,3,77200,76260,79831,-1.4,Declining,4,2,37,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3223-structural-steel-and-welding-trades-workers
Aircraft Maintenance Engineers,technicians-and-trades-workers,Technicians and Trades Workers,aircraft-maintenance-engineers,3231,102856,1978,47,Certificate III/IV,3,10600,12414,13062,4.4,Stable,7,5,44,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3231-aircraft-maintenance-engineers
Metal Fitters and Machinists,technicians-and-trades-workers,Technicians and Trades Workers,metal-fitters-and-machinists,3232,116636,2243,52,Certificate III/IV,3,120800,120094,125877,0.5,Stable,5,4,38,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3232-metal-fitters-and-machinists
Precision Metal Trades Workers,technicians-and-trades-workers,Technicians and Trades Workers,precision-metal-trades-workers,3233,,,,Certificate III/IV,3,7500,8127,8491,0.5,Stable,12,13,44,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3233-precision-metal-trades-workers
Toolmakers and Engineering Patternmakers,technicians-and-trades-workers,Technicians and Trades Workers,toolmakers-and-engineering-patternmakers,3234,,,,Certificate III/IV,3,3700,3525,3714,-2.7,Declining,13,0,53,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3234-toolmakers-and-engineering-patternmakers
Panelbeaters,technicians-and-trades-workers,Technicians and Trades Workers,panelbeaters,3241,87568,1684,39,Certificate III/IV,3,11300,9535,9733,-4.3,Declining,9,2,44,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3241-panelbeaters
Vehicle Body Builders and Trimmers,technicians-and-trades-workers,Technicians and Trades Workers,vehicle-body-builders-and-trimmers,3242,,,38,Certificate III/IV,3,5600,5671,5817,-7.4,Declining,9,3,46,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3242-vehicle-body-builders-and-trimmers
Vehicle Painters,technicians-and-trades-workers,Technicians and Trades Workers,vehicle-painters,3243,86320,1660,40,Certificate III/IV,3,9700,10123,10340,-4.4,Declining,6,9,38,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3243-vehicle-painters
Bricklayers and Stonemasons,technicians-and-trades-workers,Technicians and Trades Workers,bricklayers-and-stonemasons,3311,83044,1597,45,Certificate III/IV,3,27100,31058,32446,4.5,Stable,14,3,36,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3311-bricklayers-and-stonemasons
Carpenters and Joiners,technicians-and-trades-workers,Technicians and Trades Workers,carpenters-and-joiners,3312,92924,1787,44,Certificate III/IV,3,148200,155116,162019,6.2,Moderate growth,8,3,32,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3312-carpenters-and-joiners
Floor Finishers,technicians-and-trades-workers,Technicians and Trades Workers,floor-finishers,3321,,,,Certificate III/IV,3,10900,9692,10072,3.6,Stable,22,3,38,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3321-floor-finishers
Painting Trades Workers,technicians-and-trades-workers,Technicians and Trades Workers,painting-trades-workers,3322,72800,1400,35,Certificate III/IV,3,52900,58103,60407,3.7,Stable,20,4,40,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3322-painting-trades-workers
Glaziers,technicians-and-trades-workers,Technicians and Trades Workers,glaziers,3331,69732,1341,35,Certificate III/IV,3,8200,8642,8887,-1.0,Declining,9,3,43,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3331-glaziers
Plasterers,technicians-and-trades-workers,Technicians and Trades Workers,plasterers,3332,,,,Certificate III/IV,3,31200,30528,31391,1.5,Stable,12,1,36,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3332-plasterers
Roof Tilers,technicians-and-trades-workers,Technicians and Trades Workers,roof-tilers,3333,,,,Certificate III/IV,3,10200,10615,10898,0.3,Stable,14,4,34,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3333-roof-tilers
Wall and Floor Tilers,technicians-and-trades-workers,Technicians and Trades Workers,wall-and-floor-tilers,3334,,,,Certificate III/IV,3,22900,22136,22771,2.0,Stable,11,3,37,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3334-wall-and-floor-tilers
Plumbers,technicians-and-trades-workers,Technicians and Trades Workers,plumbers,3341,104000,2000,52,Certificate III/IV,3,98600,101825,106891,5.6,Moderate growth,7,2,33,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3341-plumbers
Electricians,technicians-and-trades-workers,Technicians and Trades Workers,electricians,3411,114608,2204,53,Certificate III/IV,3,188100,201883,212913,7.0,Moderate growth,7,4,32,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3411-electricians
Airconditioning and Refrigeration Mechanics,technicians-and-trades-workers,Technicians and Trades Workers,airconditioning-and-refrigeration-mechanics,3421,104988,2019,46,Certificate III/IV,3,27500,25184,26030,0.6,Stable,7,2,33,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3421-airconditioning-and-refrigeration-mechanics
Electrical Distribution Trades Workers,technicians-and-trades-workers,Technicians and Trades Workers,electrical-distribution-trades-workers,3422,145444,2797,66,Certificate III/IV,3,11300,11060,11508,1.1,Stable,3,3,36,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3422-electrical-distribution-trades-workers
Electronics Trades Workers,technicians-and-trades-workers,Technicians and Trades Workers,electronics-trades-workers,3423,79300,1525,40,Certificate III/IV,3,32800,28012,29011,0.1,Stable,18,7,40,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3423-electronics-trades-workers
Telecommunications Trades Workers,technicians-and-trades-workers,Technicians and Trades Workers,telecommunications-trades-workers,3424,82940,1595,42,Certificate III/IV,3,17600,20540,21387,0.0,Stable,10,3,45,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3424-telecommunications-trades-workers
Bakers and Pastrycooks,technicians-and-trades-workers,Technicians and Trades Workers,bakers-and-pastrycooks,3511,70356,1353,36,Certificate III/IV,3,32400,32279,33920,4.3,Stable,28,39,36,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3511-bakers-and-pastrycooks
Butchers and Smallgoods Makers,technicians-and-trades-workers,Technicians and Trades Workers,butchers-and-smallgoods-makers,3512,,,,Certificate III/IV,3,14400,16485,17293,6.4,Moderate growth,13,11,39,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3512-butchers-and-smallgoods-makers
Chefs,technicians-and-trades-workers,Technicians and Trades Workers,chefs,3513,69160,1330,34,Certificate III/IV,2,122200,138491,147668,8.0,Moderate growth,22,26,34,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3513-chefs
Cooks,technicians-and-trades-workers,Technicians and Trades Workers,cooks,3514,62296,1198,31,Year 12,3,39400,42725,45614,7.9,Moderate growth,63,58,33,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3514-cooks
Animal Attendants and Trainers,technicians-and-trades-workers,Technicians and Trades Workers,animal-attendants-and-trainers,3611,66560,1280,32,Certificate III/IV,4,23800,27745,29456,7.4,Moderate growth,44,75,32,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3611-animal-attendants-and-trainers
Shearers,technicians-and-trades-workers,Technicians and Trades Workers,shearers,3612,,,,Year 11 or below,3,2500,2749,2879,8.4,Moderate growth,11,10,33,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3612-shearers
Veterinary Nurses,technicians-and-trades-workers,Technicians and Trades Workers,veterinary-nurses,3613,,,36,Certificate III/IV,3,16000,15281,16190,8.5,Moderate growth,51,97,29,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3613-veterinary-nurses
Florists,technicians-and-trades-workers,Technicians and Trades Workers,florists,3621,,,,Certificate III/IV,3,5900,6769,6990,1.7,Stable,52,94,40,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3621-florists
Gardeners,technicians-and-trades-workers,Technicians and Trades Workers,gardeners,3622,,,,Certificate III/IV,3,86200,97311,101460,4.0,Stable,30,12,39,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3622-gardeners
Greenkeepers,technicians-and-trades-workers,Technicians and Trades Workers,greenkeepers,3623,67496,1298,34,Certificate III/IV,3,13800,14760,15392,2.0,Stable,20,4,37,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3623-greenkeepers
Nurserypersons,technicians-and-trades-workers,Technicians and Trades Workers,nurserypersons,3624,,,,Certificate III/IV,3,4500,4276,4512,3.4,Stable,38,49,54,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3624-nurserypersons
Hairdressers,technicians-and-trades-workers,Technicians and Trades Workers,hairdressers,3911,58292,1121,26,Certificate III/IV,3,62800,64467,67374,1.1,Stable,48,77,38,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3911-hairdressers
Print Finishers and Screen Printers,technicians-and-trades-workers,Technicians and Trades Workers,print-finishers-and-screen-printers,3921,67496,1298,31,Certificate III/IV,3,3000,4086,4307,0.3,Stable,26,9,40,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3921-print-finishers-and-screen-printers
Graphic Pre-press Trades Workers,technicians-and-trades-workers,Technicians and Trades Workers,graphic-pre-press-trades-workers,3922,60060,1155,29,Certificate III/IV,3,1300,2450,2584,1.9,Stable,22,58,53,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3922-graphic-pre-press-trades-workers
Printers,technicians-and-trades-workers,Technicians and Trades Workers,printers,3923,68120,1310,35,Certificate III/IV,3,10700,11857,12509,0.7,Stable,13,13,51,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3923-printers
Canvas and Leather Goods Makers,technicians-and-trades-workers,Technicians and Trades Workers,canvas-and-leather-goods-makers,3931,,,,Certificate III/IV,3,1400,1471,1527,-0.6,Declining,0,26,53,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3931-canvas-and-leather-goods-makers
Clothing Trades Workers,technicians-and-trades-workers,Technicians and Trades Workers,clothing-trades-workers,3932,,,,Year 11 or below,3,8600,8641,9013,-1.7,Declining,32,73,46,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3932-clothing-trades-workers
Upholsterers,technicians-and-trades-workers,Technicians and Trades Workers,upholsterers,3933,,,,Certificate III/IV,3,2200,2396,2492,-3.0,Declining,32,0,59,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3933-upholsterers
Cabinetmakers,technicians-and-trades-workers,Technicians and Trades Workers,cabinetmakers,3941,63232,1216,31,Certificate III/IV,3,31200,28478,29783,-0.1,Declining,11,5,35,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3941-cabinetmakers
Wood Machinists and Other Wood Trades Workers,technicians-and-trades-workers,Technicians and Trades Workers,wood-machinists-and-other-wood-trades-workers,3942,,,,Certificate III/IV,3,2700,3038,3155,1.3,Stable,24,5,44,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3942-wood-machinists-and-other-wood-trades-workers
Boat Builders and Shipwrights,technicians-and-trades-workers,Technicians and Trades Workers,boat-builders-and-shipwrights,3991,,,,Certificate III/IV,3,3700,4952,5220,-3.9,Declining,15,0,53,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3991-boat-builders-and-shipwrights
"Chemical, Gas, Petroleum and Power Plant Operators",technicians-and-trades-workers,Technicians and Trades Workers,chemical-gas-petroleum-and-power-plant-operators,3992,178048,3424,83,Certificate III/IV,3,8900,9915,10475,3.0,Stable,5,13,45,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3992-chemical-gas-petroleum-and-power-plant-operators
"Gallery, Library and Museum Technicians",technicians-and-trades-workers,Technicians and Trades Workers,gallery-library-and-museum-technicians,3993,75868,1459,40,Advanced Diploma/Diploma,2,7400,9020,9413,2.7,Stable,44,71,50,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3993-gallery-library-and-museum-technicians
Jewellers,technicians-and-trades-workers,Technicians and Trades Workers,jewellers,3994,,,,Certificate III/IV,3,4200,4708,4937,-0.3,Declining,49,58,41,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3994-jewellers
Performing Arts Technicians,technicians-and-trades-workers,Technicians and Trades Workers,performing-arts-technicians,3995,92508,1779,46,Bachelor degree,3,14900,14111,14852,2.6,Stable,28,25,37,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3995-performing-arts-technicians
Signwriters,technicians-and-trades-workers,Technicians and Trades Workers,signwriters,3996,,,,Certificate III/IV,3,6400,5810,6105,3.1,Stable,11,16,41,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3996-signwriters
Other Miscellaneous Technicians and Trades Workers,technicians-and-trades-workers,Technicians and Trades Workers,other-miscellaneous-technicians-and-trades-workers,3999,86892,1671,43,Certificate III/IV,3,24400,26447,28378,5.8,Moderate growth,34,45,39,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/3999-other-miscellaneous-technicians-and-trades-workers
Ambulance Officers and Paramedics,community-and-personal-service-workers,Community and Personal Service Workers,ambulance-officers-and-paramedics,4111,132912,2556,62,Bachelor degree,2,28100,27607,30522,9.0,Moderate growth,14,44,36,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/4111-ambulance-officers-and-paramedics
"Dental Hygienists, Technicians and Therapists",community-and-personal-service-workers,Community and Personal Service Workers,dental-hygienists-technicians-and-therapists,4112,93704,1802,47,Advanced Diploma/Diploma,1,7200,7990,8753,3.3,Stable,34,61,34,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/4112-dental-hygienists-technicians-and-therapists
Diversional Therapists,community-and-personal-service-workers,Community and Personal Service Workers,diversional-therapists,4113,58760,1130,30,Certificate III/IV,3,6200,7058,7942,12.2,Strong growth,40,94,52,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/4113-diversional-therapists
Enrolled and Mothercraft Nurses,community-and-personal-service-workers,Community and Personal Service Workers,enrolled-and-mothercraft-nurses,4114,84136,1618,41,Advanced Diploma/Diploma,2,20700,24571,27307,10.0,Strong growth,52,84,39,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/4114-enrolled-and-mothercraft-nurses
Indigenous Health Workers,community-and-personal-service-workers,Community and Personal Service Workers,indigenous-health-workers,4115,72696,1398,35,Certificate III/IV,2,1100,1232,1359,9.0,Moderate growth,31,83,41,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/4115-indigenous-health-workers
Massage Therapists,community-and-personal-service-workers,Community and Personal Service Workers,massage-therapists,4116,76544,1472,42,Advanced Diploma/Diploma,2,20300,23959,26411,8.7,Moderate growth,67,77,44,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/4116-massage-therapists
Welfare Support Workers,community-and-personal-service-workers,Community and Personal Service Workers,welfare-support-workers,4117,87776,1688,45,Bachelor degree,2,95000,98917,108299,8.4,Moderate growth,33,69,40,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/4117-welfare-support-workers
